all my professors are female	X D N V A	    	all my professors are female
rt @famouscrab : " carlos did u put youre shoes on the right feets today " yes dad left and right " on your feet son ? " .. dad this is the wronge …	~ @ ~ , ^ V O V L N P D A N N , ! N V & R , P D N N , , , N O V D N ,	                                  	rt @famouscrab: "carlos did u put youre shoes on the right feets today" yes dad left and right "on your feet son?" ..dad this is the wronge…
its a sad day at work 4 me	L D A N P N P O	       	its a sad day at work 4 me
something strange is creeping across me	N A V V P O	     	something strange is creeping across me
rt @strokemasterjay : true life : i'm paranoid of curbing my rims	~ @ ~ A N , L A P V D N	           	rt @strokemasterjay: true life: i'm paranoid of curbing my rims
body party without organs	N N P N	   	body party without organs
woke up stressed .	V T A ,	   	woke up stressed.
rt @napgenius : 3 . reduce intellectual and emotional noise until you arrive at the silence of yourself , and listen to it . 4 . -richard brau …	~ @ ~ $ , V A & A N P O V P D N P O , & V P O , $ , ^ ^ ,	                            	rt @napgenius: 3. reduce intellectual and emotional noise until you arrive at the silence of yourself, and listen to it.  4.  -richard brau…
rt @napgenius : karma repair kit items 1-4 : 1 . get enough food to eat , and eat it 2 . find a place to sleep where it is quiet , and sleep t …	~ @ ~ ^ N N N $ , $ , V A N P V , & V O $ , V D N P V R O V A , & N N ,	                                   	rt @napgenius: karma repair kit items 1-4:   1. get enough food to eat, and eat it  2. find a place to sleep where it is quiet, and sleep t…
run with me or get ran over !! just like that	V P O & V V P , R P O	          	run with me or get ran over!! just like that
to get up or to sleep the day away . can't decide .	P V T & P V D N R , V V ,	            	to get up or to sleep the day away. can't decide.
how about a shoutout @jtrill ??? #trillmafia	R P D N @ , #	      	how about a shoutout @jtrill??? #trillmafia
simultaneously and an	R & D	  	simultaneously and an
rt @wiccheckwann : i kno u gon suck this dick	~ @ ~ O V O V V D N	         	rt @wiccheckwann: i kno u gon suck this dick
hahaha a longboarder just tried to cut past a dude and ate shit ahhaha	! D N R V P V A D N & V N !	             	hahaha a longboarder just tried to cut past a dude and ate shit ahhaha
if you want to manage somebody , manage yourself . do that well and you'll be ready to stop managing . and start leading . #trillmafia	P O V P V N , V O , V O R & L V A P V V , & V V , #	                         	if you want to manage somebody, manage yourself. do that well and you'll be ready to stop managing. and start leading. #trillmafia
